classifier,dataset,n_train,n_test,ts_length,n_classes,ensemble_size,max_window,n_features,fit_time_s,predict_time_s,predict_time_per_sample_ms,peak_fit_mem_mb,accuracy,balanced_accuracy,train_cv_accuracy
WEASEL2_tfidf,DistalPhalanxOutlineCorrect,600,276,80,2,100,44,38358,7.1725,0.3854,1.3962,703.67,0.786232,0.767081,-0.401942
WEASEL2_tfidf,EOGHorizontalSignal,362,362,1250,12,150,84,56744,29.3476,9.8236,27.1371,683.58,0.582873,0.583386,-0.109117
WEASEL2_tfidf,ElectricDevices,8926,7711,96,7,100,44,43721,509.7895,15.0266,1.9487,11911.98,0.760342,0.652096,-0.113434
WEASEL2_tfidf,FiftyWords,450,455,270,50,150,84,53439,12.2056,2.461,5.4087,736.54,0.81978,0.722783,-0.036049
WEASEL2_tfidf,Fish,175,175,463,7,50,24,18496,2.2837,0.5392,3.0811,99.78,0.977143,0.977279,-0.090762
WEASEL2_tfidf,FordA,3601,1320,500,2,150,84,57549,396.1254,13.6876,10.3694,7174.24,0.963636,0.963696,-0.216575
WEASEL2_tfidf,GunPoint,50,150,150,2,50,24,17829,0.6596,0.1901,1.2674,27.94,1.0,1.0,-0.077238
WEASEL2_tfidf,Haptics,155,308,1092,5,50,24,21174,3.6959,2.2119,7.1814,101.65,0.519481,0.517386,-0.529663
WEASEL2_tfidf,HouseTwenty,40,119,2000,2,50,24,20845,2.1201,1.5801,13.2783,41.41,0.966387,0.96,-0.147869
WEASEL2_tfidf,InlineSkate,100,550,1882,7,50,24,21267,3.9762,6.9323,12.6042,89.13,0.396364,0.403763,-0.444004
WEASEL2_tfidf,ItalyPowerDemand,67,1029,24,2,50,24,14584,1.1611,0.4132,0.4016,44.87,0.961127,0.961093,-0.193601
WEASEL2_tfidf,MiddlePhalanxTW,399,154,80,6,100,44,29106,4.509,0.2292,1.4883,355.68,0.538961,0.377115,-0.305743
WEASEL2_tfidf,Phoneme,214,1896,1024,39,50,24,19274,4.9408,13.8966,7.3295,173.92,0.330696,0.152193,-0.095376
WEASEL2_tfidf,Rock,20,50,2844,4,50,24,19712,1.9052,0.9171,18.3414,23.83,0.9,0.922619,-0.363261
WEASEL2_tfidf,SonyAIBORobotSurface1,20,601,70,2,50,24,17636,0.482,0.411,0.6839,11.47,0.893511,0.906225,-0.301423
WEASEL2_tfidf,SwedishLeaf,500,625,128,15,150,84,57030,9.9953,1.7916,2.8665,872.33,0.9728,0.973988,-0.043886
WEASEL2_tfidf,UWaveGestureLibraryX,896,3582,315,8,150,84,53636,28.5011,26.4835,7.3935,1469.14,0.839754,0.837952,-0.156239
