classifier,dataset,n_train,n_test,ts_length,n_classes,ensemble_size,max_window,n_features,fit_time_s,predict_time_s,predict_time_per_sample_ms,peak_fit_mem_mb,accuracy,balanced_accuracy,train_cv_accuracy
WEASEL2_AdaptiveEnsemble,InsectWingbeatSound,220,1980,256,11,50,24,19255,1.7475,5.2926,2.673,130.14,0.637374,0.637374,-0.217507
WEASEL2_AdaptiveEnsemble,ItalyPowerDemand,67,1029,24,2,25,24,7054,0.2569,0.2035,0.1978,14.77,0.95724,0.957189,-0.190609
WEASEL2_AdaptiveEnsemble,LargeKitchenAppliances,375,375,720,3,75,84,33862,9.7433,5.2121,13.899,389.32,0.792,0.792,-0.335534
WEASEL2_AdaptiveEnsemble,Lightning2,60,61,637,2,25,24,9158,0.5166,0.1977,3.2407,18.87,0.754098,0.748377,-0.745507
WEASEL2_AdaptiveEnsemble,Lightning7,70,73,319,7,50,24,19276,1.2848,0.3462,4.7426,42.06,0.780822,0.801295,-0.273306
WEASEL2_AdaptiveEnsemble,Mallat,55,2345,1024,8,75,24,25911,2.2814,39.4256,16.8126,45.55,0.938593,0.93923,-0.096011
WEASEL2_AdaptiveEnsemble,Meat,60,60,448,3,50,24,14555,0.9063,0.2746,4.577,27.59,0.916667,0.916667,-0.076793
WEASEL2_AdaptiveEnsemble,MedicalImages,381,760,99,10,50,44,20573,2.1888,0.8222,1.0819,239.99,0.769737,0.662886,-0.156379
WEASEL2_AdaptiveEnsemble,MiddlePhalanxOutlineAgeGroup,400,154,80,3,50,44,14816,1.6084,0.133,0.8638,181.54,0.62987,0.481287,-0.36242
WEASEL2_AdaptiveEnsemble,MiddlePhalanxOutlineCorrect,600,291,80,2,25,44,8538,1.1998,0.2122,0.7292,156.74,0.828179,0.816795,-0.429944
WEASEL2_AdaptiveEnsemble,MiddlePhalanxTW,399,154,80,6,50,44,14937,1.8799,0.1526,0.9911,182.58,0.577922,0.401733,-0.305886
WEASEL2_AdaptiveEnsemble,MixedShapesRegularTrain,500,2425,1024,5,75,84,34629,11.7913,41.6778,17.1867,530.57,0.973196,0.971636,-0.063244
