classifier,dataset,fit_time_s_baseline,fit_time_s_new,fit_time_s_delta,predict_time_s_baseline,predict_time_s_new,predict_time_s_delta,predict_time_per_sample_ms_baseline,predict_time_per_sample_ms_new,predict_time_per_sample_ms_delta,peak_fit_mem_mb_baseline,peak_fit_mem_mb_new,peak_fit_mem_mb_delta,accuracy_baseline,accuracy_new,accuracy_delta,balanced_accuracy_baseline,balanced_accuracy_new,balanced_accuracy_delta,train_cv_accuracy_baseline,train_cv_accuracy_new,train_cv_accuracy_delta,dataset_type,train_size_bin,series_len_bin,n_classes_bin
WEASEL2_r125,ElectricDevices,127.9803,155.962,27.9817,14.0645,20.3492,6.2847,1.824,2.639,0.815,11924.99,14084.93,2159.94,0.772014,0.767086,-0.004928,0.670491,0.664765,-0.005726,-0.113122,-0.112253,0.000869,DEVICE,large (n>500),short (<200),mid (3-9)
WEASEL2_r125,FiftyWords,7.0616,6.4452,-0.6164,2.9465,2.4288,-0.5177,6.4757,5.3381,-1.1376,736.45,687.71,-48.74,0.832967,0.828571,-0.004396,0.729409,0.728233,-0.001176,-0.036047,-0.036418,-0.000371,IMAGE,medium (100-500),medium (200-800),many (10+)
WEASEL2_r125,Fish,1.4339,4.1897,2.7558,0.8229,1.6657,0.8428,4.7023,9.5183,4.816,99.75,225.62,125.87,0.988571,0.977143,-0.011428,0.988946,0.977279,-0.011667,-0.091011,-0.082718,0.008293,IMAGE,medium (100-500),medium (200-800),mid (3-9)
WEASEL2_r125,FordA,82.469,78.5889,-3.8801,14.6704,13.3874,-1.283,11.114,10.1419,-0.9721,6327.14,6258.4,-68.74,0.960606,0.963636,0.00303,0.960711,0.963744,0.003033,-0.216579,-0.215931,0.000648,SENSOR,large (n>500),medium (200-800),binary (2)
WEASEL2_r125,GunPoint,0.4573,1.3059,0.8486,0.2334,0.5101,0.2767,1.5563,3.4004,1.8441,27.89,64.35,36.46,1.0,1.0,0.0,1.0,1.0,0.0,-0.077205,-0.078447,-0.001242,MOTION,small (n<100),short (<200),binary (2)
WEASEL2_r125,Haptics,2.248,6.8472,4.5992,2.6205,7.3143,4.6938,8.508,23.7477,15.2397,101.61,226.38,124.77,0.49026,0.503247,0.012987,0.490125,0.502787,0.012662,-0.529634,-0.536644,-0.00701,MOTION,medium (100-500),long (>800),mid (3-9)
WEASEL2_r125,HouseTwenty,1.3029,4.0018,2.6989,1.8397,5.2184,3.3787,15.4599,43.8519,28.392,34.83,61.76,26.93,0.966387,0.966387,0.0,0.96,0.96,0.0,-0.147795,-0.155754,-0.007959,DEVICE,small (n<100),long (>800),binary (2)
WEASEL2_r125,InlineSkate,2.5138,7.3493,4.8355,8.0122,21.5067,13.4945,14.5677,39.1032,24.5355,84.85,148.98,64.13,0.443636,0.445455,0.001819,0.449845,0.455459,0.005614,-0.444079,-0.436032,0.008047,MOTION,small (n<100),long (>800),mid (3-9)
WEASEL2_r125,ItalyPowerDemand,0.4147,1.1266,0.7119,0.472,0.7736,0.3016,0.4587,0.7518,0.2931,30.35,69.52,39.17,0.959184,0.954325,-0.004859,0.959144,0.954282,-0.004862,-0.190887,-0.184688,0.006199,SENSOR,small (n<100),short (<200),binary (2)
WEASEL2_r125,MiddlePhalanxTW,2.5705,4.1392,1.5687,0.4927,0.4345,-0.0582,3.1995,2.8217,-0.3778,355.5,443.17,87.67,0.551948,0.538961,-0.012987,0.38469,0.365751,-0.018939,-0.306022,-0.306484,-0.000462,IMAGE,medium (100-500),short (<200),mid (3-9)
WEASEL2_r125,Phoneme,3.0284,8.3011,5.2727,16.1767,44.3301,28.1534,8.532,23.3808,14.8488,127.38,284.33,156.95,0.347574,0.352848,0.005274,0.18485,0.191452,0.006602,-0.095373,-0.096808,-0.001435,SOUND,medium (100-500),long (>800),many (10+)
WEASEL2_r125,Rock,1.0783,3.4547,2.3764,1.0809,2.9248,1.8439,21.6183,58.4959,36.8776,25.12,33.67,8.55,0.9,0.88,-0.02,0.922619,0.904762,-0.017857,-0.363254,-0.334241,0.029013,SPECTRO,small (n<100),long (>800),mid (3-9)
WEASEL2_r125,SonyAIBORobotSurface1,0.3655,0.8978,0.5323,0.452,0.9888,0.5368,0.7522,1.6452,0.893,11.39,26.82,15.43,0.941764,0.936772,-0.004992,0.948499,0.944126,-0.004373,-0.301207,-0.312126,-0.010919,SENSOR,small (n<100),short (<200),binary (2)
WEASEL2_r125,SwedishLeaf,5.2182,5.2131,-0.0051,1.9682,1.628,-0.3402,3.1492,2.6048,-0.5444,872.21,851.16,-21.05,0.976,0.9776,0.0016,0.976919,0.978457,0.001538,-0.043859,-0.044005,-0.000146,IMAGE,medium (100-500),short (<200),many (10+)
WEASEL2_r125,UWaveGestureLibraryX,12.1563,12.8545,0.6982,27.3412,26.9439,-0.3973,7.6329,7.522,-0.1109,1469.18,1400.69,-68.49,0.843384,0.841429,-0.001955,0.841632,0.839713,-0.001919,-0.156302,-0.159146,-0.002844,MOTION,large (n>500),medium (200-800),mid (3-9)
WEASEL2_r25,ACSF1,2.1735,1.2698,-0.9037,1.2225,0.7308,-0.4917,12.2254,7.3082,-4.9172,90.57,69.13,-21.44,0.93,0.95,0.02,0.93,0.95,0.02,-0.185615,-0.206031,-0.020416,DEVICE,small (n<100),long (>800),many (10+)
