classifier,dataset,n_train,n_test,ts_length,n_classes,n_features,fit_time_s,predict_time_s,predict_time_per_sample_ms,peak_fit_mem_mb,accuracy,balanced_accuracy,train_cv_accuracy
WEASEL2_r25,Strawberry,613,370,235,2,10533,1.5836,0.3837,1.037,197.52,0.978378,0.981506,-0.090236
WEASEL2_r25,SwedishLeaf,500,625,128,15,12178,1.067,0.3626,0.5801,186.37,0.9648,0.965974,-0.051778
WEASEL2_r25,Symbols,25,995,398,6,8059,0.2956,1.6732,1.6816,6.65,0.980905,0.981379,-0.067036
WEASEL2_r25,SyntheticControl,300,300,60,6,11839,0.631,0.1163,0.3876,108.82,0.99,0.99,-0.087964
WEASEL2_r25,ToeSegmentation1,40,228,277,2,10406,0.3052,0.3113,1.3653,13.17,0.973684,0.973611,-0.238412
WEASEL2_r25,ToeSegmentation2,36,130,343,2,10235,0.307,0.2101,1.6162,11.74,0.930769,0.941431,-0.136622
WEASEL2_r25,Trace,100,100,275,4,9895,0.4903,0.1466,1.4657,30.67,1.0,1.0,-0.030098
WEASEL2_r25,TwoLeadECG,23,1139,82,2,7136,0.2118,0.5044,0.4428,5.37,1.0,1.0,-0.202203
WEASEL2_r25,TwoPatterns,1000,4000,128,4,12744,2.0345,2.2791,0.5698,389.42,0.99525,0.995264,-0.085165
WEASEL2_r25,UMD,36,144,150,3,9927,0.2611,0.1223,0.8494,11.32,0.986111,0.986111,-0.169128
WEASEL2_r25,UWaveGestureLibraryAll,896,3582,945,8,11591,5.7476,17.2589,4.8182,317.8,0.955611,0.955699,-0.087964
WEASEL2_r25,UWaveGestureLibraryX,896,3582,315,8,10981,2.6734,5.2495,1.4655,300.87,0.835567,0.833857,-0.169229
WEASEL2_r25,UWaveGestureLibraryY,896,3582,315,8,11504,2.6428,5.1829,1.4469,315.18,0.759073,0.759655,-0.210739
WEASEL2_r25,UWaveGestureLibraryZ,896,3582,315,8,11553,2.6696,5.1204,1.4295,316.52,0.778336,0.780122,-0.199571
WEASEL2_r25,Wafer,1000,6164,152,2,11762,2.1268,4.4269,0.7182,359.41,0.998378,0.992481,-0.008478
WEASEL2_r25,Wine,57,54,234,2,4417,0.3406,0.0693,1.2838,8.09,0.944444,0.944444,-0.112934
WEASEL2_r25,WordSynonyms,267,638,270,25,11496,0.8731,0.7311,1.1459,94.26,0.724138,0.552263,-0.083986
WEASEL2_r25,Worms,181,77,900,5,8830,1.3599,0.3268,4.2448,77.55,0.714286,0.632587,-0.3348
WEASEL2_r25,WormsTwoClass,181,77,900,2,8830,1.3699,0.3466,4.5009,67.52,0.831169,0.833333,-0.552192
WEASEL2_r25,Yoga,300,3000,426,2,12039,1.1952,5.7014,1.9005,110.77,0.921,0.920142,-0.341644
