classifier,dataset,n_train,n_test,ts_length,n_classes,n_features,fit_time_s,predict_time_s,predict_time_per_sample_ms,peak_fit_mem_mb,accuracy,balanced_accuracy,train_cv_accuracy
WEASEL2_r50,FordA,3601,1320,500,2,24114,32.7731,6.167,4.672,2651.14,0.962121,0.962228,-0.218439
WEASEL2_r50,GunPoint,50,150,150,2,17829,0.5249,0.2236,1.4905,27.93,1.0,1.0,-0.077238
WEASEL2_r50,Haptics,155,308,1092,5,21174,2.7144,3.022,9.8118,101.65,0.49026,0.490125,-0.529663
WEASEL2_r50,HouseTwenty,40,119,2000,2,20845,1.5777,2.0618,17.326,34.22,0.966387,0.96,-0.147869
WEASEL2_r50,InlineSkate,100,550,1882,7,21267,2.9201,8.8046,16.0083,96.79,0.443636,0.449845,-0.444004
WEASEL2_r50,ItalyPowerDemand,67,1029,24,2,14584,0.4596,0.3101,0.3014,30.46,0.959184,0.959144,-0.193601
WEASEL2_r50,MiddlePhalanxTW,399,154,80,6,14937,1.6548,0.1503,0.976,182.58,0.577922,0.401733,-0.305886
WEASEL2_r50,Phoneme,214,1896,1024,39,19274,3.2985,16.6081,8.7595,127.42,0.348101,0.184947,-0.095376
WEASEL2_r50,Rock,20,50,2844,4,19712,1.4023,1.1813,23.627,23.41,0.9,0.922619,-0.363261
WEASEL2_r50,SonyAIBORobotSurface1,20,601,70,2,17636,0.3621,0.4121,0.6857,11.44,0.943428,0.949957,-0.301423
WEASEL2_r50,SwedishLeaf,500,625,128,15,23107,2.0854,0.6505,1.0409,353.46,0.9712,0.971783,-0.047761
WEASEL2_r50,UWaveGestureLibraryX,896,3582,315,8,21137,5.2376,10.3161,2.88,578.98,0.835567,0.833865,-0.166071
WEASEL2_r75,ACSF1,100,100,1460,10,25091,3.529,1.8523,18.523,79.13,0.94,0.94,-0.176827
WEASEL2_r75,Adiac,390,391,176,37,25840,2.8997,0.9428,2.4112,308.86,0.841432,0.852275,-0.046973
WEASEL2_r75,ArrowHead,36,175,251,3,26416,0.7921,0.5893,3.3677,30.19,0.868571,0.874305,-0.330841
WEASEL2_r75,Coffee,28,28,286,2,22926,0.7381,0.1166,4.1636,20.77,1.0,1.0,-0.117994
