classifier,dataset,n_train,n_test,ts_length,n_classes,n_features,fit_time_s,predict_time_s,predict_time_per_sample_ms,peak_fit_mem_mb,accuracy,balanced_accuracy,train_cv_accuracy
WEASEL2_half,MoteStrain,20,1252,84,2,8519,0.2176,0.5493,0.4388,5.58,0.958466,0.957581,-0.321538
WEASEL2_half,NonInvasiveFetalECGThorax1,1800,1965,750,42,35431,30.1962,21.6234,11.0043,1949.28,0.922137,0.92091,-0.03233
WEASEL2_half,NonInvasiveFetalECGThorax2,1800,1965,750,42,35443,29.7549,21.2375,10.8079,1949.94,0.946565,0.944703,-0.024842
WEASEL2_half,OSULeaf,200,242,427,6,9991,0.9399,0.4437,1.8336,61.53,0.966942,0.949275,-0.110488
WEASEL2_half,OliveOil,30,30,570,4,6257,0.3653,0.1029,3.4295,7.37,0.933333,0.916667,-0.254476
WEASEL2_half,PhalangesOutlinesCorrect,1800,858,80,2,19473,6.2955,0.7111,0.8288,1070.43,0.822844,0.792192,-0.448239
WEASEL2_half,Phoneme,214,1896,1024,39,9165,1.7433,9.2764,4.8926,99.26,0.34019,0.180784,-0.094109
WEASEL2_half,PigAirwayPressure,104,208,2000,52,10172,1.5621,1.7809,8.5619,84.74,0.822115,0.822115,-0.066625
WEASEL2_half,PigArtPressure,104,208,2000,52,9782,1.5564,1.8244,8.7713,106.13,0.985577,0.985577,-0.03516
WEASEL2_half,PigCVP,104,208,2000,52,10405,1.5833,1.7881,8.5966,102.33,0.961538,0.961538,-0.048314
WEASEL2_half,Plane,105,105,144,7,9028,0.4254,0.0883,0.8409,29.35,1.0,1.0,-0.009408
WEASEL2_half,PowerCons,180,180,144,2,9907,0.5524,0.1448,0.8042,54.84,0.933333,0.933333,-0.269498
WEASEL2_half,ProximalPhalanxOutlineAgeGroup,400,205,80,3,13179,1.6322,0.2072,1.0107,161.55,0.858537,0.798414,-0.29583
WEASEL2_half,ProximalPhalanxOutlineCorrect,600,291,80,2,14532,2.2543,0.2839,0.9757,266.76,0.890034,0.834854,-0.358838
WEASEL2_half,ProximalPhalanxTW,400,205,80,6,13111,1.6244,0.1949,0.9508,160.73,0.814634,0.522193,-0.167753
WEASEL2_half,RefrigerationDevices,375,375,720,3,33848,6.811,4.1597,11.0926,389.16,0.554667,0.554667,-0.353358
WEASEL2_half,Rock,20,50,2844,4,9395,0.7414,0.6199,12.3975,21.65,0.92,0.934524,-0.36486
WEASEL2_half,ScreenType,375,375,720,3,33840,7.1477,4.4998,11.9995,389.06,0.469333,0.469333,-0.694629
WEASEL2_half,SemgHandGenderCh2,300,600,1500,2,36574,10.6651,15.7265,26.2108,382.57,0.93,0.926374,-0.281504
WEASEL2_half,SemgHandMovementCh2,450,450,1500,6,36574,15.5204,14.1717,31.4928,805.49,0.628889,0.628889,-0.383859
WEASEL2_half,SemgHandSubjectCh2,450,450,1500,5,36574,16.1649,12.2745,27.2767,564.86,0.888889,0.888889,-0.193181
WEASEL2_half,ShapeletSim,20,180,500,2,10075,0.3115,0.4484,2.4911,6.7,1.0,1.0,-0.563065
WEASEL2_half,ShapesAll,600,600,512,60,35024,7.6534,4.0796,6.7993,643.42,0.938333,0.938333,-0.018648
WEASEL2_half,SmallKitchenAppliances,375,375,720,3,33851,7.5497,4.734,12.624,389.19,0.789333,0.789333,-0.39412
WEASEL2_half,SmoothSubspace,150,150,15,3,6485,0.3765,0.0451,0.3006,30.03,0.966667,0.966667,-0.149328
WEASEL2_half,SonyAIBORobotSurface1,20,601,70,2,8500,0.2203,0.2431,0.4045,5.56,0.948419,0.95433,-0.299297
WEASEL2_half,SonyAIBORobotSurface2,27,953,65,2,9257,0.2294,0.338,0.3546,8.01,0.944386,0.947659,-0.297008
WEASEL2_half,StarLightCurves,1000,8236,1024,3,33015,21.0709,143.8219,17.4626,1009.71,0.981666,0.963341,-0.066978
WEASEL2_half,Strawberry,613,370,235,2,29530,4.9969,1.284,3.4702,553.62,0.981081,0.983607,-0.083447
WEASEL2_half,SwedishLeaf,500,625,128,15,35123,3.3625,1.1223,1.7957,537.15,0.976,0.976839,-0.045596
WEASEL2_half,Symbols,25,995,398,6,8059,0.3318,1.8114,1.8205,6.65,0.980905,0.981379,-0.067036
WEASEL2_half,SyntheticControl,300,300,60,6,22214,1.3159,0.2332,0.7775,204.11,0.993333,0.993333,-0.081844
WEASEL2_half,ToeSegmentation1,40,228,277,2,10406,0.368,0.3193,1.4003,13.17,0.973684,0.973611,-0.238412
WEASEL2_half,ToeSegmentation2,36,130,343,2,10235,0.3506,0.2405,1.85,11.74,0.930769,0.941431,-0.136622
WEASEL2_half,Trace,100,100,275,4,9895,0.5367,0.1678,1.6784,30.67,1.0,1.0,-0.030098
WEASEL2_half,TwoLeadECG,23,1139,82,2,7136,0.3022,0.5197,0.4563,5.38,1.0,1.0,-0.202203
WEASEL2_half,TwoPatterns,1000,4000,128,4,36464,6.0829,6.9322,1.733,1113.97,0.9965,0.996518,-0.075041
WEASEL2_half,UMD,36,144,150,3,9927,0.2905,0.1732,1.203,11.32,0.986111,0.986111,-0.169128
WEASEL2_half,UWaveGestureLibraryAll,896,3582,945,8,33502,17.1655,53.0219,14.8023,918.22,0.958961,0.959039,-0.079653
WEASEL2_half,UWaveGestureLibraryX,896,3582,315,8,32232,8.1191,15.8985,4.4384,882.76,0.845338,0.843718,-0.161944
WEASEL2_half,UWaveGestureLibraryY,896,3582,315,8,33425,7.906,15.7035,4.384,915.39,0.766332,0.767024,-0.203927
WEASEL2_half,UWaveGestureLibraryZ,896,3582,315,8,33053,8.077,15.9272,4.4465,905.22,0.786711,0.78837,-0.191392
WEASEL2_half,Wafer,1000,6164,152,2,33801,6.5196,14.0595,2.2809,1032.67,0.999513,0.997744,-0.006534
WEASEL2_half,Wine,57,54,234,2,4417,0.3772,0.0857,1.5871,8.09,0.944444,0.944444,-0.112934
WEASEL2_half,WordSynonyms,267,638,270,25,33077,2.792,2.0534,3.2184,270.88,0.730408,0.568304,-0.081647
WEASEL2_half,Worms,181,77,900,5,8830,1.3606,0.3448,4.4785,104.37,0.714286,0.632587,-0.3348
WEASEL2_half,WormsTwoClass,181,77,900,2,8830,1.3883,0.3486,4.5271,66.2,0.831169,0.833333,-0.552192
WEASEL2_half,Yoga,300,3000,426,2,34781,3.5422,16.9143,5.6381,319.88,0.925667,0.924832,-0.319936
