classifier,dataset,fit_time_s_baseline,fit_time_s_new,fit_time_s_delta,predict_time_s_baseline,predict_time_s_new,predict_time_s_delta,predict_time_per_sample_ms_baseline,predict_time_per_sample_ms_new,predict_time_per_sample_ms_delta,peak_fit_mem_mb_baseline,peak_fit_mem_mb_new,peak_fit_mem_mb_delta,accuracy_baseline,accuracy_new,accuracy_delta,balanced_accuracy_baseline,balanced_accuracy_new,balanced_accuracy_delta,train_cv_accuracy_baseline,train_cv_accuracy_new,train_cv_accuracy_delta,n_features_baseline,n_features_new,n_features_delta,dataset_type,train_size_bin,series_len_bin,n_classes_bin
WEASEL2_AdaptiveEnsemble,EthanolLevel,29.8308,17.2187,-12.6121,22.2407,12.6858,-9.5549,44.4814,25.3715,-19.1099,821.27,698.97,-122.3,0.588,0.574,-0.014,0.588614,0.574533,-0.014081,-0.414381,-0.446032,-0.031651,50863.0,31175.0,-19688.0,SPECTRO,large (n>500),long (>800),mid (3-9)
WEASEL2_AdaptiveEnsemble,FaceAll,5.8638,2.4063,-3.4575,4.7385,1.6354,-3.1031,2.8038,0.9677,-1.8361,982.94,410.1,-572.84,0.784024,0.784615,0.000591,0.892471,0.892895,0.000424,-0.034663,-0.038192,-0.003529,57394.0,23944.0,-33450.0,IMAGE,large (n>500),short (<200),many (10+)
WEASEL2_AdaptiveEnsemble,FaceFour,0.4951,0.5925,0.0974,0.2944,0.307,0.0126,3.3458,3.4886,0.1428,16.27,16.31,0.04,0.943182,0.943182,0.0,0.948427,0.948427,0.0,-0.272854,-0.276694,-0.00384,21021.0,21020.0,-1.0,IMAGE,small (n<100),medium (200-800),mid (3-9)
WEASEL2_AdaptiveEnsemble,FacesUCR,0.9637,1.2224,0.2587,2.3773,2.4212,0.0439,1.1597,1.1811,0.0214,130.81,130.84,0.03,0.947317,0.947317,0.0,0.910632,0.910632,0.0,-0.074158,-0.074085,7.3e-05,21308.0,21308.0,0.0,IMAGE,medium (100-500),short (<200),many (10+)
WEASEL2_AdaptiveEnsemble,FiftyWords,7.0616,2.6551,-4.4065,2.9465,0.9785,-1.968,6.4757,2.1505,-4.3252,736.45,281.21,-455.24,0.832967,0.837363,0.004396,0.729409,0.741123,0.011714,-0.036047,-0.036961,-0.000914,53439.0,20389.0,-33050.0,IMAGE,medium (100-500),medium (200-800),many (10+)
WEASEL2_AdaptiveEnsemble,Fish,1.4339,1.7824,0.3485,0.8229,0.7351,-0.0878,4.7023,4.2006,-0.5017,99.75,99.78,0.03,0.988571,0.988571,0.0,0.988946,0.988946,0.0,-0.091011,-0.090762,0.000249,18497.0,18496.0,-1.0,IMAGE,medium (100-500),medium (200-800),mid (3-9)
WEASEL2_AdaptiveEnsemble,FordA,82.469,18.9832,-63.4858,14.6704,2.7964,-11.874,11.114,2.1185,-8.9955,6327.14,1402.27,-4924.87,0.960606,0.959091,-0.001515,0.960711,0.959242,-0.001469,-0.216579,-0.222213,-0.005634,57549.0,12754.0,-44795.0,SENSOR,large (n>500),medium (200-800),binary (2)
WEASEL2_AdaptiveEnsemble,FordB,82.2775,19.2909,-62.9866,9.1651,1.7799,-7.3852,11.3149,2.1974,-9.1175,6390.5,1420.0,-4970.5,0.839506,0.838272,-0.001234,0.839247,0.838122,-0.001125,-0.197846,-0.203707,-0.005861,57566.0,12791.0,-44775.0,SENSOR,large (n>500),medium (200-800),binary (2)
WEASEL2_AdaptiveEnsemble,FreezerRegularTrain,1.0714,0.6489,-0.4225,7.2579,4.0282,-3.2297,2.5466,1.4134,-1.1332,95.35,45.96,-49.39,0.993333,0.992281,-0.001052,0.993333,0.992281,-0.001052,-0.063928,-0.061813,0.002115,20646.0,9935.0,-10711.0,SENSOR,medium (100-500),medium (200-800),binary (2)
WEASEL2_AdaptiveEnsemble,FreezerSmallTrain,0.4244,0.2956,-0.1288,7.1505,4.0625,-3.088,2.5089,1.4254,-1.0835,17.84,8.58,-9.26,0.974386,0.950526,-0.02386,0.974386,0.950526,-0.02386,-0.159199,-0.142631,0.016568,19912.0,9493.0,-10419.0,SENSOR,small (n<100),medium (200-800),binary (2)
