classifier,dataset,fit_time_s_baseline,fit_time_s_new,fit_time_s_delta,predict_time_s_baseline,predict_time_s_new,predict_time_s_delta,predict_time_per_sample_ms_baseline,predict_time_per_sample_ms_new,predict_time_per_sample_ms_delta,peak_fit_mem_mb_baseline,peak_fit_mem_mb_new,peak_fit_mem_mb_delta,accuracy_baseline,accuracy_new,accuracy_delta,balanced_accuracy_baseline,balanced_accuracy_new,balanced_accuracy_delta,train_cv_accuracy_baseline,train_cv_accuracy_new,train_cv_accuracy_delta,dataset_type,train_size_bin,series_len_bin,n_classes_bin,n_features_baseline,n_features_new
WEASEL2_half,FacesUCR,0.9637,0.6123,-0.3514,2.3773,1.2311,-1.1462,1.1597,0.6005,-0.5592,130.81,63.97,-66.84,0.947317,0.939024,-0.008293,0.910632,0.896019,-0.014613,-0.074158,-0.077048,-0.00289,IMAGE,medium (100-500),short (<200),many (10+),21308,10406
WEASEL2_half,FiftyWords,7.0616,3.894,-3.1676,2.9465,1.519,-1.4275,6.4757,3.3385,-3.1372,736.45,432.92,-303.53,0.832967,0.832967,0.0,0.729409,0.7349,0.005491,-0.036047,-0.036757,-0.00071,IMAGE,medium (100-500),medium (200-800),many (10+),53439,31408
WEASEL2_half,Fish,1.4339,0.9025,-0.5314,0.8229,0.3872,-0.4357,4.7023,2.2125,-2.4898,99.75,47.29,-52.46,0.988571,0.977143,-0.011428,0.988946,0.977279,-0.011667,-0.091011,-0.099054,-0.008043,IMAGE,medium (100-500),medium (200-800),mid (3-9),18497,8751
WEASEL2_half,FordA,82.469,47.7202,-34.7488,14.6704,8.2074,-6.463,11.114,6.2177,-4.8963,6327.14,4016.07,-2311.07,0.960606,0.960606,0.0,0.960711,0.960663,-4.8e-05,-0.216579,-0.219459,-0.00288,SENSOR,large (n>500),medium (200-800),binary (2),57549,36530
WEASEL2_half,FordB,82.2775,47.8265,-34.451,9.1651,5.0313,-4.1338,11.3149,6.2115,-5.1034,6390.5,4059.2,-2331.3,0.839506,0.840741,0.001235,0.839247,0.840591,0.001344,-0.197846,-0.20203,-0.004184,SENSOR,large (n>500),medium (200-800),binary (2),57566,36567
WEASEL2_half,FreezerRegularTrain,1.0714,0.6663,-0.4051,7.2579,3.904,-3.3539,2.5466,1.3698,-1.1768,95.35,45.96,-49.39,0.993333,0.992281,-0.001052,0.993333,0.992281,-0.001052,-0.063928,-0.061813,0.002115,SENSOR,medium (100-500),medium (200-800),binary (2),20646,9935
WEASEL2_half,FreezerSmallTrain,0.4244,0.3029,-0.1215,7.1505,4.0215,-3.129,2.5089,1.4111,-1.0978,17.84,8.58,-9.26,0.974386,0.950526,-0.02386,0.974386,0.950526,-0.02386,-0.159199,-0.142631,0.016568,SENSOR,small (n<100),medium (200-800),binary (2),19912,9493
WEASEL2_half,GunPoint,0.4573,0.3161,-0.1412,0.2334,0.1309,-0.1025,1.5563,0.8729,-0.6834,27.89,13.34,-14.55,1.0,1.0,0.0,1.0,1.0,0.0,-0.077205,-0.074953,0.002252,MOTION,small (n<100),short (<200),binary (2),17828,8479
WEASEL2_half,GunPointAgeSpan,0.7483,0.5069,-0.2414,0.5745,0.249,-0.3255,1.8179,0.7879,-1.03,71.87,34.05,-37.82,1.0,1.0,0.0,1.0,1.0,0.0,-0.059993,-0.07109,-0.011097,MOTION,medium (100-500),short (<200),binary (2),17278,8166
WEASEL2_half,GunPointMaleVersusFemale,1.0831,0.5068,-0.5763,0.6662,0.2631,-0.4031,2.1083,0.8325,-1.2758,70.93,33.84,-37.09,0.996835,0.996835,0.0,0.996988,0.996988,0.0,-0.034384,-0.034344,4e-05,MOTION,medium (100-500),short (<200),binary (2),17049,8116
WEASEL2_half,GunPointOldVersusYoung,0.7589,0.501,-0.2579,0.582,0.258,-0.324,1.8476,0.8189,-1.0287,72.16,34.52,-37.64,0.993651,0.990476,-0.003175,0.993333,0.99,-0.003333,-0.060537,-0.056781,0.003756,MOTION,medium (100-500),short (<200),binary (2),17222,8220
WEASEL2_half,Ham,1.0422,0.6464,-0.3958,0.5509,0.2253,-0.3256,5.2463,2.1455,-3.1008,66.91,32.27,-34.64,0.761905,0.761905,0.0,0.761438,0.761438,0.0,-0.32257,-0.334223,-0.011653,SPECTRO,medium (100-500),medium (200-800),binary (2),19835,9544
WEASEL2_half,HandOutlines,88.1862,49.7107,-38.4755,23.9071,13.9296,-9.9775,64.6138,37.6476,-26.9662,1713.6,1097.32,-616.28,0.959459,0.945946,-0.013513,0.950208,0.93306,-0.017148,-0.238304,-0.24319,-0.004886,IMAGE,large (n>500),long (>800),binary (2),55894,33368
WEASEL2_half,Haptics,2.248,1.3867,-0.8613,2.6205,1.4329,-1.1876,8.508,4.6524,-3.8556,101.61,78.22,-23.39,0.49026,0.480519,-0.009741,0.490125,0.47973,-0.010395,-0.529634,-0.508737,0.020897,MOTION,medium (100-500),long (>800),mid (3-9),21174,10352
WEASEL2_half,Herring,0.7393,0.5252,-0.2141,0.41,0.166,-0.244,6.4063,2.5942,-3.8121,37.2,17.96,-19.24,0.671875,0.671875,0.0,0.620445,0.6083,-0.012145,-0.939458,-0.925581,0.013877,IMAGE,small (n<100),medium (200-800),binary (2),18544,8916
WEASEL2_half,HouseTwenty,1.3029,0.9373,-0.3656,1.8397,1.0154,-0.8243,15.4599,8.5332,-6.9267,34.83,38.96,4.13,0.966387,0.94958,-0.016807,0.96,0.94,-0.02,-0.147795,-0.171114,-0.023319,DEVICE,small (n<100),long (>800),binary (2),20846,10265
WEASEL2_half,InlineSkate,2.5138,1.4151,-1.0987,8.0122,4.5045,-3.5077,14.5677,8.1899,-6.3778,84.85,77.9,-6.95,0.443636,0.421818,-0.021818,0.449845,0.427985,-0.02186,-0.444079,-0.455891,-0.011812,MOTION,small (n<100),long (>800),mid (3-9),21267,10359
WEASEL2_half,InsectEPGRegularTrain,0.8471,0.5452,-0.3019,1.1264,0.6786,-0.4478,4.5238,2.7252,-1.7986,40.94,20.01,-20.93,1.0,1.0,0.0,1.0,1.0,0.0,-0.015226,-0.01515,7.6e-05,EPG,small (n<100),medium (200-800),mid (3-9),21075,10258
WEASEL2_half,InsectEPGSmallTrain,0.494,0.3516,-0.1424,1.2805,0.6757,-0.6048,5.1427,2.7135,-2.4292,11.89,5.83,-6.06,0.983936,0.97992,-0.004016,0.985019,0.981273,-0.003746,-0.078519,-0.087682,-0.009163,EPG,small (n<100),medium (200-800),mid (3-9),20877,10096
WEASEL2_half,InsectWingbeatSound,1.3368,0.8215,-0.5153,4.1051,2.2168,-1.8883,2.0733,1.1196,-0.9537,130.1,61.55,-68.55,0.637879,0.641919,0.00404,0.637879,0.641919,0.00404,-0.217569,-0.216957,0.000612,SOUND,medium (100-500),medium (200-800),many (10+),19255,9094
WEASEL2_half,ItalyPowerDemand,0.4147,0.2938,-0.1209,0.472,0.2485,-0.2235,0.4587,0.2415,-0.2172,30.35,14.77,-15.58,0.959184,0.95724,-0.001944,0.959144,0.957189,-0.001955,-0.190887,-0.190609,0.000278,SENSOR,small (n<100),short (<200),binary (2),14566,7054
WEASEL2_half,LargeKitchenAppliances,12.4426,7.3701,-5.0725,7.8495,4.5307,-3.3188,20.9321,12.0817,-8.8504,645.58,389.32,-256.26,0.810667,0.792,-0.018667,0.810667,0.792,-0.018667,-0.292627,-0.335534,-0.042907,DEVICE,medium (100-500),medium (200-800),mid (3-9),56127,33862
WEASEL2_half,Lightning2,0.8106,0.5499,-0.2607,0.3497,0.2202,-0.1295,5.7324,3.6099,-2.1225,36.51,17.37,-19.14,0.721311,0.754098,0.032787,0.709957,0.748377,0.03842,-0.712214,-0.745507,-0.033293,SENSOR,small (n<100),medium (200-800),binary (2),19352,9158
WEASEL2_half,Lightning7,0.9977,0.461,-0.5367,0.3469,0.1526,-0.1943,4.752,2.0905,-2.6615,42.02,19.98,-22.04,0.794521,0.780822,-0.013699,0.811195,0.801295,-0.0099,-0.269334,-0.275035,-0.005701,SENSOR,small (n<100),medium (200-800),mid (3-9),19276,9126
WEASEL2_half,Mallat,1.0173,0.6707,-0.3466,20.4378,12.2852,-8.1526,8.7155,5.2389,-3.4766,32.51,23.94,-8.57,0.938166,0.942431,0.004265,0.938817,0.943035,0.004218,-0.101117,-0.092935,0.008182,SIMULATED,small (n<100),long (>800),mid (3-9),18549,8880
WEASEL2_half,Meat,0.7099,0.4727,-0.2372,0.2494,0.1463,-0.1031,4.1575,2.4382,-1.7193,27.55,12.75,-14.8,0.916667,0.933333,0.016666,0.916667,0.933333,0.016666,-0.076766,-0.073052,0.003714,SPECTRO,small (n<100),medium (200-800),mid (3-9),14555,6682
WEASEL2_half,MedicalImages,2.6671,1.6852,-0.9819,1.4751,0.7595,-0.7156,1.9409,0.9994,-0.9415,489.9,239.99,-249.91,0.780263,0.769737,-0.010526,0.694331,0.662886,-0.031445,-0.154132,-0.156379,-0.002247,IMAGE,medium (100-500),short (<200),many (10+),42019,20573
WEASEL2_half,MiddlePhalanxOutlineAgeGroup,2.7155,1.6482,-1.0673,0.4187,0.1528,-0.2659,2.7189,0.9922,-1.7267,353.64,181.54,-172.1,0.61039,0.62987,0.01948,0.475144,0.481287,0.006143,-0.363397,-0.36242,0.000977,IMAGE,medium (100-500),short (<200),mid (3-9),28875,14816
WEASEL2_half,MiddlePhalanxOutlineCorrect,3.6528,2.2475,-1.4053,0.6165,0.2808,-0.3357,2.1185,0.9651,-1.1534,581.88,297.46,-284.42,0.831615,0.828179,-0.003436,0.822771,0.818771,-0.004,-0.43661,-0.422161,0.014449,IMAGE,large (n>500),short (<200),binary (2),31714,16208
WEASEL2_half,MiddlePhalanxTW,2.5705,1.6749,-0.8956,0.4927,0.1559,-0.3368,3.1995,1.0123,-2.1872,355.5,182.58,-172.92,0.551948,0.577922,0.025974,0.38469,0.401733,0.017043,-0.306022,-0.305886,0.000136,IMAGE,medium (100-500),short (<200),mid (3-9),29098,14937
WEASEL2_half,MixedShapesRegularTrain,18.0446,10.3684,-7.6762,64.6516,36.9743,-27.6773,26.6605,15.2471,-11.4134,859.55,530.57,-328.98,0.974845,0.973196,-0.001649,0.973852,0.971636,-0.002216,-0.062227,-0.063244,-0.001017,IMAGE,medium (100-500),long (>800),mid (3-9),56071,34629
WEASEL2_half,MixedShapesSmallTrain,1.626,1.0,-0.626,21.0231,11.337,-9.6861,8.6693,4.675,-3.9943,60.93,38.24,-22.69,0.961649,0.955876,-0.005773,0.960381,0.955031,-0.00535,-0.106769,-0.107021,-0.000252,IMAGE,small (n<100),long (>800),mid (3-9),19512,9432
WEASEL2_half,MoteStrain,0.3454,0.2176,-0.1278,1.009,0.5493,-0.4597,0.8059,0.4388,-0.3671,11.47,5.58,-5.89,0.960064,0.958466,-0.001598,0.959566,0.957581,-0.001985,-0.320705,-0.321538,-0.000833,SENSOR,small (n<100),short (<200),binary (2),17751,8519
WEASEL2_half,NonInvasiveFetalECGThorax1,50.0549,30.1962,-19.8587,35.4005,21.6234,-13.7771,18.0155,11.0043,-7.0112,3154.38,1949.28,-1205.1,0.927226,0.922137,-0.005089,0.925766,0.92091,-0.004856,-0.029205,-0.03233,-0.003125,ECG,large (n>500),medium (200-800),many (10+),57342,35431
WEASEL2_half,NonInvasiveFetalECGThorax2,49.1074,29.7549,-19.3525,35.6653,21.2375,-14.4278,18.1503,10.8079,-7.3424,3154.66,1949.94,-1204.72,0.954707,0.946565,-0.008142,0.952463,0.944703,-0.00776,-0.02217,-0.024842,-0.002672,ECG,large (n>500),medium (200-800),many (10+),57347,35443
WEASEL2_half,OSULeaf,1.5664,0.9399,-0.6265,0.9637,0.4437,-0.52,3.9823,1.8336,-2.1487,126.6,61.53,-65.07,0.966942,0.966942,0.0,0.952899,0.949275,-0.003624,-0.103544,-0.110488,-0.006944,IMAGE,medium (100-500),medium (200-800),mid (3-9),20586,9991
WEASEL2_half,OliveOil,0.5773,0.3653,-0.212,0.1793,0.1029,-0.0764,5.9767,3.4295,-2.5472,13.27,7.37,-5.9,0.966667,0.933333,-0.033334,0.979167,0.916667,-0.0625,-0.266402,-0.254476,0.011926,SPECTRO,small (n<100),medium (200-800),mid (3-9),13424,6257
WEASEL2_half,PhalangesOutlinesCorrect,10.8649,6.2955,-4.5694,1.4237,0.7111,-0.7126,1.6593,0.8288,-0.8305,2126.19,1070.43,-1055.76,0.831002,0.822844,-0.008158,0.8044,0.792192,-0.012208,-0.427157,-0.448239,-0.021082,IMAGE,large (n>500),short (<200),binary (2),38683,19473
WEASEL2_half,Phoneme,3.0284,1.7433,-1.2851,16.1767,9.2764,-6.9003,8.532,4.8926,-3.6394,127.38,99.26,-28.12,0.347574,0.34019,-0.007384,0.18485,0.180784,-0.004066,-0.095373,-0.094109,0.001264,SOUND,medium (100-500),long (>800),many (10+),19274,9165
WEASEL2_half,PigAirwayPressure,2.8282,1.5621,-1.2661,3.5672,1.7809,-1.7863,17.1502,8.5619,-8.5883,92.2,84.74,-7.46,0.9375,0.822115,-0.115385,0.9375,0.822115,-0.115385,-0.065054,-0.066625,-0.001571,HEMODYNAMICS,medium (100-500),long (>800),many (10+),21225,10172
WEASEL2_half,PigArtPressure,2.6851,1.5564,-1.1287,3.2067,1.8244,-1.3823,15.4169,8.7713,-6.6456,101.12,106.13,5.01,0.985577,0.985577,0.0,0.985577,0.985577,0.0,-0.03186,-0.03516,-0.0033,HEMODYNAMICS,medium (100-500),long (>800),many (10+),21059,9782
WEASEL2_half,PigCVP,3.2298,1.5833,-1.6465,3.1761,1.7881,-1.388,15.2697,8.5966,-6.6731,102.76,102.33,-0.43,0.966346,0.961538,-0.004808,0.966346,0.961538,-0.004808,-0.044822,-0.048314,-0.003492,HEMODYNAMICS,medium (100-500),long (>800),many (10+),20482,10405
WEASEL2_half,Plane,0.7409,0.4254,-0.3155,0.2998,0.0883,-0.2115,2.855,0.8409,-2.0141,60.95,29.35,-31.6,1.0,1.0,0.0,1.0,1.0,0.0,-0.008858,-0.009408,-0.00055,SENSOR,medium (100-500),short (<200),mid (3-9),21324,9028
WEASEL2_half,PowerCons,0.9887,0.5524,-0.4363,0.4124,0.1448,-0.2676,2.2909,0.8042,-1.4867,112.53,54.84,-57.69,0.927778,0.933333,0.005555,0.927778,0.933333,0.005555,-0.279562,-0.269498,0.010064,DEVICE,medium (100-500),short (<200),binary (2),18802,9907
WEASEL2_half,ProximalPhalanxOutlineAgeGroup,2.6673,1.6322,-1.0351,0.507,0.2072,-0.2998,2.4733,1.0107,-1.4626,313.89,161.55,-152.34,0.858537,0.858537,0.0,0.798414,0.798414,0.0,-0.299196,-0.29583,0.003366,IMAGE,medium (100-500),short (<200),mid (3-9),20356,13179
WEASEL2_half,ProximalPhalanxOutlineCorrect,4.0168,2.2543,-1.7625,0.6531,0.2839,-0.3692,2.2442,0.9757,-1.2685,521.41,266.76,-254.65,0.90378,0.890034,-0.013746,0.865359,0.834854,-0.030505,-0.36707,-0.358838,0.008232,IMAGE,large (n>500),short (<200),binary (2),25621,14532
WEASEL2_half,ProximalPhalanxTW,2.7473,1.6244,-1.1229,0.5094,0.1949,-0.3145,2.4848,0.9508,-1.534,312.13,160.73,-151.4,0.809756,0.814634,0.004878,0.485288,0.522193,0.036905,-0.164638,-0.167753,-0.003115,IMAGE,medium (100-500),short (<200),mid (3-9),28413,13111
